sessao,minuto,hora,solar_kw,potencia_kw,temp_c,soc,comando
1,190,14.08,6.94,4.44,39.6,89.4,HIBRIDO_SOLAR_REDE
1,195,14.17,6.98,4.44,39.7,90.5,HIBRIDO_SOLAR_REDE
1,200,14.25,7.51,4.44,39.6,91.6,SOLAR_TOTAL
1,205,14.33,7.55,4.44,39.3,92.8,SOLAR_TOTAL
1,210,14.42,7.73,4.44,39.3,93.9,SOLAR_TOTAL
1,215,14.5,7.32,4.44,39.1,95.0,HIBRIDO_SOLAR_REDE
1,220,14.58,7.16,4.44,39.2,96.1,HIBRIDO_SOLAR_REDE
1,225,14.67,6.09,4.44,38.9,97.3,HIBRIDO_SOLAR_REDE
1,230,14.75,6.58,4.44,38.5,98.4,HIBRIDO_SOLAR_REDE
1,235,14.83,6.77,4.44,38.7,99.5,HIBRIDO_SOLAR_REDE
1,240,14.92,5.73,4.44,38.4,100.0,HIBRIDO_SOLAR_REDE
2,5,23.0,0.0,3.7,32.4,16.4,REDE_POTENCIA_REDUZIDA
2,10,23.08,0.0,3.7,33.1,16.9,REDE_POTENCIA_REDUZIDA
2,15,23.17,0.0,3.7,33.4,17.3,REDE_POTENCIA_REDUZIDA
2,20,23.25,0.0,3.7,34.0,17.7,REDE_POTENCIA_REDUZIDA
2,25,23.33,0.0,3.7,34.4,18.2,REDE_POTENCIA_REDUZIDA
2,30,23.42,0.0,3.7,34.9,18.6,REDE_POTENCIA_REDUZIDA
2,35,23.5,0.0,3.7,35.2,19.1,REDE_POTENCIA_REDUZIDA
2,40,23.58,0.0,3.7,35.6,19.5,REDE_POTENCIA_REDUZIDA
2,45,23.67,0.0,3.7,36.1,19.9,REDE_POTENCIA_REDUZIDA
2,50,23.75,0.0,3.7,36.3,20.4,REDE_POTENCIA_REDUZIDA
2,55,23.83,0.0,3.7,36.9,20.8,REDE_POTENCIA_REDUZIDA
2,60,23.92,0.0,3.7,37.2,21.2,REDE_POTENCIA_REDUZIDA
2,65,0.0,0.0,3.7,37.8,21.7,REDE_POTENCIA_REDUZIDA
2,70,0.08,0.0,3.7,37.9,22.1,REDE_POTENCIA_REDUZIDA
2,75,0.17,0.0,3.7,38.3,22.5,REDE_POTENCIA_REDUZIDA
2,80,0.25,0.0,3.7,38.7,23.0,REDE_POTENCIA_REDUZIDA
2,85,0.33,0.0,3.7,39.0,23.4,REDE_POTENCIA_REDUZIDA
2,90,0.42,0.0,3.7,38.9,23.9,REDE_POTENCIA_REDUZIDA
2,95,0.5,0.0,3.7,38.8,24.3,REDE_POTENCIA_REDUZIDA
2,100,0.58,0.0,3.7,39.1,24.7,REDE_POTENCIA_REDUZIDA
2,105,0.67,0.0,3.7,39.3,25.2,REDE_POTENCIA_REDUZIDA
2,110,0.75,0.0,3.7,39.2,25.6,REDE_POTENCIA_REDUZIDA
2,115,0.83,0.0,3.7,39.2,26.0,REDE_POTENCIA_REDUZIDA
2,120,0.92,0.0,3.7,39.2,26.5,REDE_POTENCIA_REDUZIDA
2,125,1.0,0.0,3.7,39.1,26.9,REDE_POTENCIA_REDUZIDA
2,130,1.08,0.0,3.7,39.2,27.3,REDE_POTENCIA_REDUZIDA
2,135,1.17,0.0,3.7,39.4,27.8,REDE_POTENCIA_REDUZIDA
2,140,1.25,0.0,3.7,39.6,28.2,REDE_POTENCIA_REDUZIDA
2,145,1.33,0.0,3.7,39.7,28.7,REDE_POTENCIA_REDUZIDA
2,150,1.42,0.0,3.7,39.8,29.1,REDE_POTENCIA_REDUZIDA
2,155,1.5,0.0,3.7,40.0,29.5,REDE_POTENCIA_REDUZIDA
2,160,1.58,0.0,3.7,40.1,30.0,REDE_POTENCIA_REDUZIDA
2,165,1.67,0.0,3.7,40.4,30.4,REDE_POTENCIA_REDUZIDA
2,170,1.75,0.0,3.7,40.2,30.8,REDE_POTENCIA_REDUZIDA
2,175,1.83,0.0,3.7,40.3,31.3,REDE_POTENCIA_REDUZIDA
2,180,1.92,0.0,3.7,40.3,31.7,REDE_POTENCIA_REDUZIDA
2,185,2.0,0.0,3.7,40.5,32.1,REDE_POTENCIA_REDUZIDA
2,190,2.08,0.0,3.7,40.3,32.6,REDE_POTENCIA_REDUZIDA
2,195,2.17,0.0,3.7,40.3,33.0,REDE_POTENCIA_REDUZIDA
2,200,2.25,0.0,3.7,40.0,33.5,REDE_POTENCIA_REDUZIDA
2,205,2.33,0.0,3.7,40.1,33.9,REDE_POTENCIA_REDUZIDA
2,210,2.42,0.0,3.7,40.3,34.3,REDE_POTENCIA_REDUZIDA
2,215,2.5,0.0,3.7,40.5,34.8,REDE_POTENCIA_REDUZIDA
2,220,2.58,0.0,3.7,40.5,35.2,REDE_POTENCIA_REDUZIDA
2,225,2.67,0.0,3.7,40.8,35.6,REDE_POTENCIA_REDUZIDA
2,230,2.75,0.0,3.7,40.8,36.1,REDE_POTENCIA_REDUZIDA
2,235,2.83,0.0,3.7,40.6,36.5,REDE_POTENCIA_REDUZIDA
2,240,2.92,0.0,3.7,40.4,36.9,REDE_POTENCIA_REDUZIDA
2,245,3.0,0.0,3.7,40.4,37.4,REDE_POTENCIA_REDUZIDA
2,250,3.08,0.0,3.7,40.6,37.8,REDE_POTENCIA_REDUZIDA
2,255,3.17,0.0,3.7,40.7,38.3,REDE_POTENCIA_REDUZIDA
2,260,3.25,0.0,3.7,40.4,38.7,REDE_POTENCIA_REDUZIDA
2,265,3.33,0.0,3.7,40.6,39.1,REDE_POTENCIA_REDUZIDA
2,270,3.42,0.0,3.7,40.9,39.6,REDE_POTENCIA_REDUZIDA
2,275,3.5,0.0,3.7,41.0,40.0,REDE_POTENCIA_REDUZIDA
2,280,3.58,0.0,3.7,41.2,40.4,REDE_POTENCIA_REDUZIDA
2,285,3.67,0.0,3.7,40.9,40.9,REDE_POTENCIA_REDUZIDA
2,290,3.75,0.0,3.7,40.7,41.3,REDE_POTENCIA_REDUZIDA
2,295,3.83,0.0,3.7,40.7,41.7,REDE_POTENCIA_REDUZIDA
2,300,3.92,0.0,3.7,40.7,42.2,REDE_POTENCIA_REDUZIDA
2,305,4.0,0.0,3.7,40.6,42.6,REDE_POTENCIA_REDUZIDA
2,310,4.08,0.0,3.7,40.6,43.1,REDE_POTENCIA_REDUZIDA
2,315,4.17,0.0,3.7,40.4,43.5,REDE_POTENCIA_REDUZIDA
2,320,4.25,0.0,3.7,40.3,43.9,REDE_POTENCIA_REDUZIDA
2,325,4.33,0.0,3.7,40.6,44.4,REDE_POTENCIA_REDUZIDA
2,330,4.42,0.0,3.7,40.4,44.8,REDE_POTENCIA_REDUZIDA
2,335,4.5,0.0,3.7,40.1,45.2,REDE_POTENCIA_REDUZIDA
2,340,4.58,0.0,3.7,40.4,45.7,REDE_POTENCIA_REDUZIDA
2,345,4.67,0.0,3.7,40.4,46.1,REDE_POTENCIA_REDUZIDA
2,350,4.75,0.0,3.7,40.5,46.5,REDE_POTENCIA_REDUZIDA
2,355,4.83,0.0,3.7,40.5,47.0,REDE_POTENCIA_REDUZIDA
2,360,4.92,0.0,3.7,40.6,47.4,REDE_POTENCIA_REDUZIDA
2,365,5.0,0.0,3.7,40.4,47.9,REDE_POTENCIA_REDUZIDA
2,370,5.08,0.0,3.7,40.2,48.3,REDE_POTENCIA_REDUZIDA
2,375,5.17,0.0,3.7,40.2,48.7,REDE_POTENCIA_REDUZIDA
2,380,5.25,0.0,3.7,40.5,49.2,REDE_POTENCIA_REDUZIDA
2,385,5.33,0.0,3.7,40.7,49.6,REDE_POTENCIA_REDUZIDA
2,390,5.42,0.0,3.7,40.9,50.0,REDE_POTENCIA_REDUZIDA
2,395,5.5,0.0,3.7,40.7,50.5,REDE_POTENCIA_REDUZIDA
2,400,5.58,0.0,3.7,40.6,50.9,REDE_POTENCIA_REDUZIDA
2,405,5.67,0.0,3.7,40.9,51.3,REDE_POTENCIA_REDUZIDA
2,410,5.75,0.0,3.7,41.1,51.8,REDE_POTENCIA_REDUZIDA
2,415,5.83,0.0,3.7,40.8,52.2,REDE_POTENCIA_REDUZIDA
2,420,5.92,0.0,3.7,41.0,52.7,REDE_POTENCIA_REDUZIDA
2,425,6.0,0.0,3.7,41.3,53.1,REDE_POTENCIA_REDUZIDA
2,430,6.08,0.21,3.7,41.5,53.5,REDE_POTENCIA_REDUZIDA
2,435,6.17,0.35,3.7,41.2,54.0,REDE_POTENCIA_REDUZIDA
2,440,6.25,0.53,7.4,41.7,54.8,HIBRIDO_SOLAR_REDE
2,445,6.33,0.7,7.4,42.6,55.7,HIBRIDO_SOLAR_REDE
2,450,6.42,1.08,7.4,43.4,56.6,HIBRIDO_SOLAR_REDE
2,455,6.5,1.22,7.4,44.1,57.5,HIBRIDO_SOLAR_REDE
2,460,6.58,1.43,7.4,44.4,58.3,HIBRIDO_SOLAR_REDE
2,465,6.67,1.49,7.4,44.8,59.2,HIBRIDO_SOLAR_REDE
2,470,6.75,1.5,7.4,45.0,60.1,HIBRIDO_SOLAR_REDE
2,475,6.83,2.01,3.7,45.0,60.5,REDUCAO_TERMICA
2,480,6.92,2.16,3.7,44.8,61.0,REDUCAO_TERMICA
2,485,7.0,2.4,3.7,44.6,61.4,REDUCAO_TERMICA
2,490,7.08,2.49,3.7,44.3,61.8,REDUCAO_TERMICA
2,495,7.17,2.92,3.7,44.1,62.3,REDUCAO_TERMICA
2,500,7.25,2.56,3.7,44.0,62.7,REDUCAO_TERMICA
2,505,7.33,2.63,3.7,43.7,63.1,REDUCAO_TERMICA
2,510,7.42,3.32,3.7,43.2,63.6,REDUCAO_TERMICA
2,515,7.5,3.81,3.7,43.0,64.0,REDUCAO_TERMICA
2,520,7.58,3.9,3.7,42.9,64.4,REDUCAO_TERMICA
2,525,7.67,4.11,3.7,42.5,64.9,REDUCAO_TERMICA
2,530,7.75,4.31,3.7,42.6,65.3,REDUCAO_TERMICA
2,535,7.83,4.22,3.7,42.6,65.8,REDUCAO_TERMICA
2,540,7.92,4.4,3.7,42.7,66.2,REDUCAO_TERMICA
2,545,8.0,4.44,3.7,42.6,66.6,REDUCAO_TERMICA
2,550,8.08,4.26,3.7,42.7,67.1,REDUCAO_TERMICA
2,555,8.17,4.56,3.7,42.4,67.5,REDUCAO_TERMICA
2,560,8.25,4.42,3.7,42.0,67.9,REDUCAO_TERMICA
2,565,8.33,4.99,3.7,42.1,68.4,REDUCAO_TERMICA
2,570,8.42,5.62,3.7,41.8,68.8,REDUCAO_TERMICA
2,575,8.5,6.03,3.7,42.0,69.2,REDUCAO_TERMICA
2,580,8.58,5.62,3.7,42.1,69.7,REDUCAO_TERMICA
2,585,8.67,6.27,3.7,42.2,70.1,REDUCAO_TERMICA
2,590,8.75,6.02,3.7,42.3,70.6,REDUCAO_TERMICA
2,595,8.83,6.6,3.7,42.0,71.0,REDUCAO_TERMICA
2,600,8.92,5.42,3.7,41.8,71.4,REDUCAO_TERMICA
2,605,9.0,6.46,3.7,41.6,71.9,REDUCAO_TERMICA
2,610,9.08,5.54,3.7,41.3,72.3,REDUCAO_TERMICA
2,615,9.17,5.63,3.7,41.0,72.7,REDUCAO_TERMICA
2,620,9.25,7.04,3.7,41.1,73.2,REDUCAO_TERMICA
2,625,9.33,6.1,3.7,41.0,73.6,REDUCAO_TERMICA
2,630,9.42,7.12,7.4,41.6,74.5,HIBRIDO_SOLAR_REDE
2,635,9.5,7.74,7.4,42.4,75.4,SOLAR_TOTAL
2,640,9.58,7.33,7.4,42.9,76.2,HIBRIDO_SOLAR_REDE
2,645,9.67,7.35,7.4,43.4,77.1,HIBRIDO_SOLAR_REDE
2,650,9.75,7.27,7.4,44.1,78.0,HIBRIDO_SOLAR_REDE
2,655,9.83,8.22,7.4,44.4,78.8,SOLAR_TOTAL
2,660,9.92,6.44,7.4,45.0,79.7,HIBRIDO_SOLAR_REDE
2,665,10.0,7.1,7.4,45.3,80.0,HIBRIDO_SOLAR_REDE
3,5,20.0,0.0,3.7,34.4,15.9,REDE_POTENCIA_REDUZIDA
3,10,20.08,0.0,3.7,35.1,16.9,REDE_POTENCIA_REDUZIDA
3,15,20.17,0.0,3.7,35.8,17.8,REDE_POTENCIA_REDUZIDA
3,20,20.25,0.0,3.7,36.2,18.8,REDE_POTENCIA_REDUZIDA
3,25,20.33,0.0,3.7,36.5,19.7,REDE_POTENCIA_REDUZIDA
3,30,20.42,0.0,3.7,37.0,20.6,REDE_POTENCIA_REDUZIDA
3,35,20.5,0.0,3.7,37.5,21.6,REDE_POTENCIA_REDUZIDA
3,40,20.58,0.0,3.7,38.0,22.5,REDE_POTENCIA_REDUZIDA
3,45,20.67,0.0,3.7,38.3,23.5,REDE_POTENCIA_REDUZIDA
3,50,20.75,0.0,3.7,38.4,24.4,REDE_POTENCIA_REDUZIDA
3,55,20.83,0.0,3.7,38.9,25.3,REDE_POTENCIA_REDUZIDA
3,60,20.92,0.0,3.7,39.2,26.3,REDE_POTENCIA_REDUZIDA
3,65,21.0,0.0,3.7,39.6,27.2,REDE_POTENCIA_REDUZIDA
3,70,21.08,0.0,3.7,40.1,28.2,REDE_POTENCIA_REDUZIDA
3,75,21.17,0.0,3.7,40.4,29.1,REDE_POTENCIA_REDUZIDA
3,80,21.25,0.0,3.7,40.5,30.0,REDE_POTENCIA_REDUZIDA
3,85,21.33,0.0,3.7,40.7,31.0,REDE_POTENCIA_REDUZIDA
3,90,21.42,0.0,3.7,41.1,31.9,REDE_POTENCIA_REDUZIDA
3,95,21.5,0.0,3.7,41.3,32.8,REDE_POTENCIA_REDUZIDA
3,100,21.58,0.0,3.7,41.3,33.8,REDE_POTENCIA_REDUZIDA
3,105,21.67,0.0,3.7,41.5,34.7,REDE_POTENCIA_REDUZIDA
3,110,21.75,0.0,3.7,41.5,35.7,REDE_POTENCIA_REDUZIDA
3,115,21.83,0.0,3.7,41.4,36.6,REDE_POTENCIA_REDUZIDA
3,120,21.92,0.0,3.7,41.5,37.5,REDE_POTENCIA_REDUZIDA
3,125,22.0,0.0,3.7,41.6,38.5,REDE_POTENCIA_REDUZIDA
3,130,22.08,0.0,3.7,41.9,39.4,REDE_POTENCIA_REDUZIDA
3,135,22.17,0.0,3.7,41.7,40.4,REDE_POTENCIA_REDUZIDA
3,140,22.25,0.0,3.7,41.7,41.3,REDE_POTENCIA_REDUZIDA
3,145,22.33,0.0,3.7,41.8,42.2,REDE_POTENCIA_REDUZIDA
3,150,22.42,0.0,3.7,42.1,43.2,REDE_POTENCIA_REDUZIDA
3,155,22.5,0.0,3.7,42.2,44.1,REDE_POTENCIA_REDUZIDA
3,160,22.58,0.0,3.7,42.3,45.1,REDE_POTENCIA_REDUZIDA
3,165,22.67,0.0,3.7,42.6,46.0,REDE_POTENCIA_REDUZIDA
3,170,22.75,0.0,3.7,42.5,46.9,REDE_POTENCIA_REDUZIDA
3,175,22.83,0.0,3.7,42.5,47.9,REDE_POTENCIA_REDUZIDA
3,180,22.92,0.0,3.7,42.7,48.8,REDE_POTENCIA_REDUZIDA
3,185,23.0,0.0,3.7,42.5,49.8,REDE_POTENCIA_REDUZIDA
3,190,23.08,0.0,3.7,42.6,50.7,REDE_POTENCIA_REDUZIDA
3,195,23.17,0.0,3.7,42.8,51.6,REDE_POTENCIA_REDUZIDA
3,200,23.25,0.0,3.7,43.1,52.6,REDE_POTENCIA_REDUZIDA
3,205,23.33,0.0,3.7,43.1,53.5,REDE_POTENCIA_REDUZIDA
3,210,23.42,0.0,3.7,43.1,54.5,REDE_POTENCIA_REDUZIDA
3,215,23.5,0.0,3.7,43.0,55.4,REDE_POTENCIA_REDUZIDA
3,220,23.58,0.0,3.7,43.0,56.3,REDE_POTENCIA_REDUZIDA
3,225,23.67,0.0,3.7,42.7,57.3,REDE_POTENCIA_REDUZIDA
3,230,23.75,0.0,3.7,42.7,58.2,REDE_POTENCIA_REDUZIDA
3,235,23.83,0.0,3.7,42.8,59.1,REDE_POTENCIA_REDUZIDA
3,240,23.92,0.0,3.7,42.7,60.1,REDE_POTENCIA_REDUZIDA
3,245,0.0,0.0,3.7,42.6,61.0,REDE_POTENCIA_REDUZIDA
3,250,0.08,0.0,3.7,42.4,62.0,REDE_POTENCIA_REDUZIDA
3,255,0.17,0.0,3.7,42.7,62.9,REDE_POTENCIA_REDUZIDA
3,260,0.25,0.0,3.7,42.6,63.8,REDE_POTENCIA_REDUZIDA
3,265,0.33,0.0,3.7,42.5,64.8,REDE_POTENCIA_REDUZIDA
3,270,0.42,0.0,3.7,42.6,65.7,REDE_POTENCIA_REDUZIDA
3,275,0.5,0.0,3.7,42.5,66.7,REDE_POTENCIA_REDUZIDA
3,280,0.58,0.0,3.7,42.3,67.6,REDE_POTENCIA_REDUZIDA
3,285,0.67,0.0,3.7,42.3,68.5,REDE_POTENCIA_REDUZIDA
3,290,0.75,0.0,3.7,42.6,69.5,REDE_POTENCIA_REDUZIDA
3,295,0.83,0.0,3.7,42.3,70.4,REDE_POTENCIA_REDUZIDA
3,300,0.92,0.0,3.7,42.6,71.4,REDE_POTENCIA_REDUZIDA
3,305,1.0,0.0,3.7,42.6,72.3,REDE_POTENCIA_REDUZIDA
3,310,1.08,0.0,3.7,42.4,73.2,REDE_POTENCIA_REDUZIDA
3,315,1.17,0.0,3.7,42.6,74.2,REDE_POTENCIA_REDUZIDA
3,320,1.25,0.0,3.7,42.6,75.1,REDE_POTENCIA_REDUZIDA
3,325,1.33,0.0,3.7,42.6,76.1,REDE_POTENCIA_REDUZIDA
3,330,1.42,0.0,3.7,42.5,77.0,REDE_POTENCIA_REDUZIDA
3,335,1.5,0.0,3.7,42.6,77.9,REDE_POTENCIA_REDUZIDA
3,340,1.58,0.0,3.7,42.9,78.9,REDE_POTENCIA_REDUZIDA
3,345,1.67,0.0,3.7,42.9,79.8,REDE_POTENCIA_REDUZIDA
3,350,1.75,0.0,3.7,43.0,80.8,REDE_POTENCIA_REDUZIDA
3,355,1.83,0.0,2.22,42.6,81.3,REDE_POTENCIA_REDUZIDA
3,360,1.92,0.0,2.22,42.2,81.9,REDE_POTENCIA_REDUZIDA
3,365,2.0,0.0,2.22,41.9,82.4,REDE_POTENCIA_REDUZIDA
3,370,2.08,0.0,2.22,41.9,83.0,REDE_POTENCIA_REDUZIDA
3,375,2.17,0.0,2.22,42.0,83.6,REDE_POTENCIA_REDUZIDA
3,380,2.25,0.0,2.22,41.9,84.1,REDE_POTENCIA_REDUZIDA
3,385,2.33,0.0,2.22,41.8,84.7,REDE_POTENCIA_REDUZIDA
3,390,2.42,0.0,2.22,41.7,85.3,REDE_POTENCIA_REDUZIDA
3,395,2.5,0.0,2.22,41.4,85.8,REDE_POTENCIA_REDUZIDA
3,400,2.58,0.0,2.22,41.1,86.4,REDE_POTENCIA_REDUZIDA
3,405,2.67,0.0,2.22,40.9,86.9,REDE_POTENCIA_REDUZIDA
3,410,2.75,0.0,2.22,40.5,87.5,REDE_POTENCIA_REDUZIDA
3,415,2.83,0.0,2.22,40.5,88.1,REDE_POTENCIA_REDUZIDA
3,420,2.92,0.0,2.22,40.3,88.6,REDE_POTENCIA_REDUZIDA
3,425,3.0,0.0,2.22,40.3,89.2,REDE_POTENCIA_REDUZIDA
3,430,3.08,0.0,2.22,40.2,89.8,REDE_POTENCIA_REDUZIDA
3,435,3.17,0.0,2.22,40.1,90.3,REDE_POTENCIA_REDUZIDA
3,440,3.25,0.0,2.22,39.7,90.9,REDE_POTENCIA_REDUZIDA
3,445,3.33,0.0,2.22,39.7,91.5,REDE_POTENCIA_REDUZIDA
3,450,3.42,0.0,2.22,39.9,92.0,REDE_POTENCIA_REDUZIDA
3,455,3.5,0.0,2.22,39.9,92.6,REDE_POTENCIA_REDUZIDA
3,460,3.58,0.0,2.22,39.8,93.1,REDE_POTENCIA_REDUZIDA
3,465,3.67,0.0,2.22,39.7,93.7,REDE_POTENCIA_REDUZIDA
3,470,3.75,0.0,2.22,39.4,94.3,REDE_POTENCIA_REDUZIDA
3,475,3.83,0.0,2.22,39.1,94.8,REDE_POTENCIA_REDUZIDA
3,480,3.92,0.0,2.22,39.1,95.4,REDE_POTENCIA_REDUZIDA
3,485,4.0,0.0,2.22,38.8,96.0,REDE_POTENCIA_REDUZIDA
3,490,4.08,0.0,2.22,38.8,96.5,REDE_POTENCIA_REDUZIDA
3,495,4.17,0.0,2.22,39.0,97.1,REDE_POTENCIA_REDUZIDA
3,500,4.25,0.0,2.22,38.7,97.7,REDE_POTENCIA_REDUZIDA
3,505,4.33,0.0,2.22,38.9,98.2,REDE_POTENCIA_REDUZIDA
3,510,4.42,0.0,2.22,38.8,98.8,REDE_POTENCIA_REDUZIDA
3,515,4.5,0.0,2.22,39.0,99.3,REDE_POTENCIA_REDUZIDA
3,520,4.58,0.0,2.22,38.8,99.9,REDE_POTENCIA_REDUZIDA
3,525,4.67,0.0,2.22,39.1,100.0,REDE_POTENCIA_REDUZIDA
4,5,10.0,8.21,7.4,34.9,15.3,SOLAR_TOTAL
4,10,10.08,7.92,7.4,36.3,16.5,SOLAR_TOTAL
4,15,10.17,7.77,7.4,37.6,17.8,SOLAR_TOTAL
4,20,10.25,7.51,7.4,38.9,19.1,SOLAR_TOTAL
4,25,10.33,7.12,7.4,40.2,20.3,HIBRIDO_SOLAR_REDE
4,30,10.42,8.17,7.4,40.9,21.6,SOLAR_TOTAL
4,35,10.5,7.4,7.4,41.9,22.8,HIBRIDO_SOLAR_REDE
4,40,10.58,9.19,7.4,42.6,24.1,SOLAR_TOTAL
4,45,10.67,8.66,7.4,43.1,25.4,SOLAR_TOTAL
4,50,10.75,7.84,7.4,43.9,26.6,SOLAR_TOTAL
4,55,10.83,9.1,7.4,44.3,27.9,SOLAR_TOTAL
4,60,10.92,8.24,7.4,44.9,29.2,SOLAR_TOTAL
4,65,11.0,8.75,7.4,45.5,30.4,SOLAR_TOTAL
4,70,11.08,7.37,3.7,45.0,31.1,REDUCAO_TERMICA
4,75,11.17,8.41,3.7,44.8,31.7,REDUCAO_TERMICA
4,80,11.25,9.27,3.7,44.7,32.3,REDUCAO_TERMICA
4,85,11.33,8.26,3.7,44.5,33.0,REDUCAO_TERMICA
4,90,11.42,9.03,3.7,44.4,33.6,REDUCAO_TERMICA
4,95,11.5,7.77,3.7,44.4,34.2,REDUCAO_TERMICA
4,100,11.58,8.76,3.7,44.3,34.8,REDUCAO_TERMICA
4,105,11.67,9.39,3.7,44.3,35.5,REDUCAO_TERMICA
4,110,11.75,8.9,3.7,44.2,36.1,REDUCAO_TERMICA
4,115,11.83,8.6,3.7,44.3,36.7,REDUCAO_TERMICA
4,120,11.92,9.45,3.7,44.1,37.4,REDUCAO_TERMICA
4,125,12.0,8.19,3.7,43.7,38.0,REDUCAO_TERMICA
4,130,12.08,8.43,3.7,43.7,38.6,REDUCAO_TERMICA
4,135,12.17,7.57,3.7,43.4,39.3,REDUCAO_TERMICA
4,140,12.25,9.81,3.7,43.1,39.9,REDUCAO_TERMICA
4,145,12.33,8.74,3.7,42.9,40.5,REDUCAO_TERMICA
4,150,12.42,9.18,3.7,43.0,41.2,REDUCAO_TERMICA
4,155,12.5,8.89,3.7,43.2,41.8,REDUCAO_TERMICA
4,160,12.58,8.68,3.7,42.9,42.4,REDUCAO_TERMICA
4,165,12.67,7.58,3.7,42.9,43.1,REDUCAO_TERMICA
4,170,12.75,9.34,3.7,42.7,43.7,REDUCAO_TERMICA
4,175,12.83,8.33,3.7,42.8,44.3,REDUCAO_TERMICA
4,180,12.92,8.35,3.7,42.7,45.0,REDUCAO_TERMICA
4,185,13.0,8.58,3.7,42.6,45.6,REDUCAO_TERMICA
4,190,13.08,9.58,3.7,42.7,46.2,REDUCAO_TERMICA
4,195,13.17,8.65,3.7,42.7,46.9,REDUCAO_TERMICA
4,200,13.25,8.42,3.7,42.7,47.5,REDUCAO_TERMICA
4,205,13.33,8.69,3.7,43.0,48.1,REDUCAO_TERMICA
4,210,13.42,7.57,3.7,43.2,48.7,REDUCAO_TERMICA
4,215,13.5,8.12,3.7,43.4,49.4,REDUCAO_TERMICA
4,220,13.58,7.76,3.7,43.1,50.0,REDUCAO_TERMICA
4,225,13.67,8.77,3.7,43.0,50.6,REDUCAO_TERMICA
4,230,13.75,7.9,3.7,43.2,51.3,REDUCAO_TERMICA
4,235,13.83,8.73,3.7,42.9,51.9,REDUCAO_TERMICA
4,240,13.92,7.56,3.7,43.1,52.5,REDUCAO_TERMICA
4,245,14.0,7.9,3.7,43.2,53.2,REDUCAO_TERMICA
4,250,14.08,8.37,3.7,43.4,53.8,REDUCAO_TERMICA
4,255,14.17,6.42,3.7,43.4,54.4,REDUCAO_TERMICA
4,260,14.25,7.74,3.7,43.4,55.1,REDUCAO_TERMICA
4,265,14.33,7.94,3.7,43.5,55.7,REDUCAO_TERMICA
4,270,14.42,7.76,3.7,43.4,56.3,REDUCAO_TERMICA
4,275,14.5,6.05,3.7,43.5,57.0,REDUCAO_TERMICA
4,280,14.58,6.46,3.7,43.7,57.6,REDUCAO_TERMICA
4,285,14.67,6.8,3.7,43.7,58.2,REDUCAO_TERMICA
